caseid,region,gender,educ,edloan,race,hispanic,employ,marstat,pid7,ideo5,pew_religimp,newsint,faminc_new,union,investor,CC18_308a,CC18_310a,CC18_310b,CC18_310c,CC18_310d,CC18_325a,CC18_325b,CC18_325c,CC18_325d
417614315,3,1,2,2,1,2,5,3,6,3,1,2,1,3,2,2,2,3,3,5,1,2,1,1
415490556,1,2,6,2,1,1,1,1,2,2,3,3,12,3,2,4,3,2,5,5,2,2,2,1
414351505,3,2,3,2,2,2,1,4,2,3,1,3,4,3,1,4,2,2,2,2,1,2,1,2
411855339,1,2,5,2,6,2,5,3,3,1,2,1,6,2,1,4,3,3,3,3,2,1,2,1
417056957,2,1,2,NA,4,2,8,5,1,1,4,2,4,3,2,4,2,1,1,1,2,2,2,1
420208067,2,1,3,2,1,2,1,1,4,5,4,1,10,1,2,4,2,2,3,2,1,2,1,1
412517331,1,1,2,2,1,2,5,5,5,4,3,2,6,3,1,1,3,3,2,2,1,1,1,1
412873566,2,2,3,2,1,2,7,1,7,5,1,3,2,3,2,1,2,2,3,5,1,1,1,1
412948037,1,1,5,1,1,2,1,1,1,1,4,1,11,2,1,4,3,3,3,5,2,2,2,1
413463295,3,1,5,NA,1,2,1,5,1,1,3,1,2,2,2,4,2,2,2,2,2,2,2,1
415732156,3,1,6,2,1,2,1,5,6,5,4,4,16,3,2,1,2,3,2,5,2,1,1,2
416479672,3,2,2,2,1,2,5,4,5,3,1,1,4,3,2,4,2,3,2,5,2,1,2,1
412984205,1,2,3,2,1,2,7,1,3,3,2,1,11,3,1,4,3,3,3,3,2,1,2,2
413002690,3,1,6,2,1,2,1,1,6,5,1,1,11,3,1,1,2,2,2,2,1,1,1,1
414239724,4,1,3,2,3,2,4,5,1,1,3,2,1,3,2,4,1,1,1,3,2,1,2,2
412311163,3,2,3,1,2,2,1,2,1,3,2,3,3,2,1,4,3,5,2,5,2,2,2,1
414204021,2,2,6,1,1,2,9,1,2,1,2,1,11,3,1,4,5,3,2,3,2,1,2,2
412931880,4,1,3,2,1,2,1,5,2,1,4,1,9,3,1,4,3,3,3,3,2,1,1,1
412881399,2,2,4,2,1,2,4,5,3,1,4,3,2,3,2,4,2,5,3,2,2,1,2,1
412985437,3,2,4,2,1,2,6,3,7,3,1,1,3,2,2,1,2,3,2,2,2,2,1,1
411855595,1,1,6,2,1,2,1,1,4,3,4,1,10,3,1,4,3,3,3,3,1,1,2,1
413877573,1,1,5,2,1,2,3,5,3,1,4,1,8,3,2,4,2,3,3,3,2,1,2,1
414018801,4,1,6,2,1,2,1,1,6,3,3,1,12,3,2,2,2,2,2,3,1,1,1,1
413425778,4,2,3,2,1,2,1,5,5,4,3,2,6,3,2,2,3,3,3,3,1,1,2,2
413859987,3,2,6,1,1,2,1,1,7,5,1,1,11,3,1,1,2,2,2,2,1,2,2,2
417838480,3,1,5,2,1,2,1,4,5,1,2,1,7,3,1,1,2,3,2,NA,1,1,1,1
413456067,3,1,5,2,1,2,6,5,2,1,4,4,6,3,1,4,2,2,2,3,2,1,2,1
415423745,1,1,2,NA,1,2,2,5,1,2,4,2,2,3,2,4,3,3,3,1,2,1,1,2
414480371,1,1,5,1,1,2,1,1,4,3,1,1,9,3,1,1,3,3,3,3,1,1,1,1
413336030,4,2,2,2,3,2,9,5,1,3,3,1,4,1,2,4,3,3,3,5,2,1,2,1
413834979,3,1,5,2,1,2,5,1,4,4,2,1,10,3,1,1,3,3,3,2,1,1,1,1
412503538,3,1,6,2,1,2,5,1,1,2,3,1,11,2,1,4,2,3,2,2,2,1,2,1
413497102,1,2,5,1,2,2,4,1,1,2,4,1,3,3,2,4,3,3,3,3,1,2,2,2
413084367,4,1,6,1,1,2,1,1,6,4,1,1,9,3,1,2,2,2,2,3,1,1,1,1
416814438,2,2,5,2,1,2,6,5,1,1,4,2,2,3,2,4,3,3,3,3,2,1,2,1
417149621,3,1,2,2,1,2,1,1,3,3,4,2,8,3,1,4,2,2,2,2,2,1,1,1
412380994,4,2,6,2,1,2,2,4,1,3,4,1,4,3,2,4,2,3,3,2,2,1,2,1
414884778,1,2,3,NA,1,2,8,5,1,2,4,2,13,3,1,4,3,2,2,2,2,1,1,2
412880622,4,2,5,2,1,2,7,1,1,2,4,1,13,3,1,4,2,3,3,2,2,1,2,2
414533452,1,2,5,1,1,2,8,5,2,3,3,1,11,3,2,4,3,3,2,2,2,2,2,2
412276693,3,1,4,2,1,2,1,1,3,1,2,1,10,3,1,4,2,2,2,3,2,1,2,1
414146718,3,1,5,2,1,2,1,6,6,4,4,1,6,2,2,2,3,2,2,2,1,2,2,1
415287363,4,1,6,2,1,2,1,1,3,2,1,1,4,3,1,4,3,3,3,3,2,2,2,1
412380857,4,2,6,1,1,2,1,1,7,3,2,1,9,3,2,1,2,2,2,2,1,1,1,2
412118399,2,2,5,2,1,2,1,1,2,2,3,3,11,3,1,4,5,5,5,5,2,1,1,1
416806180,2,1,3,1,1,2,1,1,6,3,2,1,10,1,1,2,2,2,3,3,1,1,1,1
417080245,3,1,5,2,1,2,1,1,7,4,3,1,12,3,1,1,2,3,2,2,1,1,1,1
415300641,2,2,4,2,2,2,1,5,3,2,1,1,6,3,2,3,3,3,5,NA,1,1,1,1
414628957,3,1,2,NA,1,2,1,1,2,3,3,2,4,3,2,1,2,2,2,2,2,1,1,2
417838586,3,1,4,2,1,2,1,1,7,5,1,1,7,2,1,1,2,2,2,2,1,1,1,2
415151821,3,2,2,NA,3,2,2,6,2,3,4,4,5,3,2,4,5,5,5,5,1,1,1,1
415459688,3,2,2,2,1,2,2,1,4,3,4,4,7,3,2,3,5,5,5,5,2,1,2,1
414273888,3,2,2,2,1,2,5,1,4,3,2,3,10,3,1,3,2,3,2,3,2,2,2,1
347845625,2,2,6,1,1,1,8,1,7,4,1,1,6,3,1,1,2,2,3,3,1,1,1,1
412913979,4,1,5,2,1,2,1,1,4,5,1,2,5,3,2,1,3,2,3,3,1,1,2,1
418258996,4,1,4,1,3,2,8,5,3,3,3,2,1,3,2,4,3,5,5,5,2,2,1,2
412982541,3,1,3,2,1,2,1,1,5,5,1,1,7,2,1,1,2,3,2,NA,1,1,1,1
417353879,3,1,6,2,1,2,1,1,4,3,3,1,11,3,1,4,2,2,2,2,2,1,2,1
412340210,4,2,6,2,1,2,5,3,2,3,2,2,7,2,2,4,3,3,5,2,2,1,1,1
416198060,3,1,3,NA,4,2,8,5,1,2,1,2,9,3,2,3,5,1,2,1,2,2,1,2
412413445,3,2,4,1,2,2,3,5,1,3,2,2,5,3,2,1,5,3,5,5,1,1,1,1
412794640,2,2,4,2,1,2,1,6,1,3,1,3,5,3,2,4,1,5,1,5,2,2,2,1
417834862,4,2,4,2,3,2,1,1,1,2,2,1,8,1,2,4,2,2,2,2,2,2,2,1
414048247,3,1,5,1,2,2,1,1,2,3,3,1,8,3,1,3,3,2,2,2,1,1,2,1
414002460,4,2,5,2,1,2,7,1,7,5,1,3,11,3,1,2,2,3,2,2,2,1,2,1
414729651,2,1,2,2,1,2,5,1,2,1,4,1,2,3,2,3,2,3,3,2,2,1,2,1
414170804,3,1,5,2,1,2,1,5,3,3,3,3,9,3,2,4,2,5,2,5,1,1,1,1
414359624,3,2,2,NA,3,2,1,5,6,3,2,2,5,3,2,2,2,3,5,3,2,1,2,1
412021973,1,1,6,2,1,2,5,1,1,2,4,1,13,2,1,4,3,3,2,2,2,2,2,1
415455668,3,2,3,NA,1,2,8,5,5,3,1,1,5,3,2,4,2,2,2,3,2,1,1,1
414570461,2,2,4,1,3,2,2,6,2,2,3,3,3,3,2,4,5,3,1,1,2,1,1,1
414206045,3,2,1,2,2,2,4,5,2,4,1,3,5,3,2,4,3,3,3,3,2,1,1,2
412944227,2,1,4,2,1,2,1,5,1,2,2,1,7,3,2,4,2,3,3,3,2,1,2,1
415332185,1,2,6,2,1,2,4,4,1,1,3,1,9,3,1,4,3,3,3,3,2,2,2,1
412950503,4,2,1,2,1,2,6,3,1,2,4,1,1,3,2,4,3,2,3,3,2,2,1,2
414563002,3,2,4,2,1,2,1,1,3,3,3,2,6,3,2,4,2,5,2,2,1,1,1,1
414378813,3,2,2,NA,1,2,7,1,6,4,2,3,4,3,1,2,3,2,1,2,2,2,2,1
412348831,2,1,5,2,1,2,1,1,1,3,2,1,8,2,2,4,2,5,5,2,2,1,1,1
415289823,1,2,5,1,1,2,1,1,2,3,4,4,9,1,1,4,3,5,5,5,2,1,1,2
412929385,1,1,5,2,1,2,1,1,1,1,4,1,7,2,1,4,3,3,3,3,2,2,2,2
413013788,4,2,2,2,1,2,5,3,3,1,3,1,4,2,2,4,3,3,3,3,2,2,2,1
413317067,2,2,3,1,1,2,9,2,1,1,1,1,2,3,2,4,2,3,3,5,2,1,2,1
414709279,2,1,5,1,1,2,1,5,3,3,2,4,4,1,2,2,2,3,2,2,1,1,2,1
420196837,3,2,4,2,1,2,1,6,6,4,1,1,4,3,2,1,2,2,2,2,2,1,1,1
416255584,2,2,2,2,1,2,5,1,7,5,1,1,4,3,2,1,1,3,2,2,2,2,2,1
412992795,3,1,2,2,1,2,2,5,7,5,1,2,2,3,2,1,2,3,2,2,1,1,1,2
412047867,2,1,5,2,1,2,1,1,7,5,1,1,11,3,2,1,2,3,3,3,1,2,2,1
414179604,4,2,3,2,1,1,7,1,3,3,1,3,6,3,2,4,1,1,1,1,2,1,1,1
412340859,2,1,4,2,1,2,5,4,4,4,2,1,4,2,1,1,2,3,3,2,1,2,1,1
412942845,2,1,3,2,1,2,1,1,3,3,4,1,9,1,1,2,2,3,3,2,2,1,2,1
417077498,3,1,6,2,3,2,1,1,1,2,3,1,15,2,1,4,2,2,2,2,2,2,2,1
412344340,4,2,3,1,1,2,2,3,3,2,3,2,2,1,2,4,3,3,5,5,2,1,2,1
414367203,1,2,2,2,1,2,7,1,6,2,3,4,7,3,2,3,5,5,5,5,1,1,1,2
413821352,3,1,5,NA,1,2,1,1,6,4,2,2,10,1,1,2,2,4,3,2,1,1,2,2
417211242,4,1,3,1,2,2,1,1,2,3,3,4,10,2,2,4,5,5,5,1,2,1,2,1
418252134,2,1,6,1,1,2,1,1,3,3,1,1,9,1,1,4,2,2,3,2,2,1,2,1
412873793,4,2,3,2,1,2,5,5,1,3,2,4,2,2,2,4,3,3,5,5,2,1,1,1
414402732,3,1,5,2,2,2,1,5,6,3,3,2,7,3,1,2,2,3,5,5,1,1,1,2
412274316,3,2,2,2,1,2,7,1,3,2,4,1,3,3,2,4,2,2,2,2,2,1,1,1
412306590,2,2,5,2,1,2,2,1,1,3,2,2,8,3,1,4,2,3,3,2,2,2,1,1
415931193,2,2,2,2,1,2,6,5,3,3,1,3,5,3,2,4,2,3,3,3,2,1,1,2
414200409,4,2,5,NA,1,2,7,1,6,4,1,3,7,3,2,3,2,2,2,3,2,2,2,2
420237745,3,1,5,1,1,2,8,5,1,2,1,1,3,3,2,4,2,2,2,2,2,1,1,1
412348490,4,1,4,2,1,2,6,1,3,4,2,1,5,3,1,4,5,2,3,2,1,1,1,1
414196043,3,2,4,2,1,2,8,1,1,2,2,3,2,3,2,4,5,5,5,5,1,1,1,1
417353856,4,1,6,2,1,2,5,1,1,2,3,1,10,2,1,4,3,3,3,3,2,2,2,2
415447008,3,2,5,1,1,2,8,5,6,4,1,2,8,3,2,3,5,5,2,5,1,1,1,2
413307422,1,1,6,NA,1,2,1,3,6,4,3,1,11,3,1,2,3,3,2,3,1,1,1,1
416386894,1,1,5,1,1,1,1,1,6,3,1,1,6,2,1,2,3,3,3,3,1,2,2,1
414174679,2,2,1,2,1,2,4,5,2,4,3,3,2,3,2,4,5,5,5,5,2,2,2,2
414615873,4,1,5,2,4,2,1,1,7,4,1,2,5,3,2,2,3,3,2,3,1,2,2,2
416424077,3,2,3,2,2,2,1,5,1,1,1,2,5,3,2,4,NA,NA,NA,3,2,1,1,2
412331497,1,1,6,1,1,2,1,3,1,1,4,1,6,2,1,4,3,3,2,2,2,2,2,1
412298157,1,1,5,2,1,2,1,1,2,3,4,1,11,3,1,4,3,3,2,NA,2,2,2,2
415899191,2,1,2,1,1,2,5,1,4,3,4,4,2,3,2,1,2,3,5,5,2,1,1,1
414349046,3,2,3,2,1,2,7,5,7,5,2,1,6,3,2,1,3,2,2,2,1,1,1,1
415217338,3,2,6,2,4,2,1,5,1,1,4,3,6,3,1,4,2,5,2,5,1,2,1,1
412355022,3,2,2,NA,1,2,5,1,6,4,2,1,6,3,1,1,3,3,3,2,1,1,2,1
417616011,2,1,2,1,1,2,1,1,7,4,1,1,7,1,2,1,2,2,3,5,1,1,1,1
418474316,4,2,3,1,4,2,1,5,3,3,3,4,9,3,1,4,1,1,1,3,1,1,1,2
415300474,4,2,3,2,3,2,1,1,2,2,2,2,7,3,2,4,3,3,3,3,2,1,1,2
420344153,3,1,5,2,7,2,8,3,4,3,4,1,8,2,1,1,3,2,2,2,1,1,1,1
413365248,3,1,3,2,1,2,1,4,7,4,2,3,7,1,1,1,2,5,2,5,2,2,2,1
414591170,2,2,2,NA,2,2,1,1,2,4,1,1,8,3,2,4,2,2,3,3,1,2,1,2
412330972,3,1,5,2,1,2,5,1,6,4,3,1,7,3,1,1,2,3,2,2,1,1,2,2
415906201,2,1,2,2,1,2,6,1,2,3,2,2,3,3,2,4,5,3,2,2,2,1,1,1
417080032,3,1,3,2,1,2,5,1,7,5,1,1,5,3,2,1,2,3,2,2,1,1,2,2
412331705,4,1,3,2,1,2,1,1,5,3,1,1,8,3,1,1,4,2,2,2,1,1,2,1
413192261,3,2,4,2,1,2,5,5,7,5,1,1,6,3,2,1,2,2,2,2,1,1,1,1
413404307,3,2,5,1,1,2,1,1,2,2,2,4,10,3,1,4,5,5,2,3,2,2,2,1
414342904,2,2,3,NA,3,2,8,5,3,2,4,3,1,3,2,4,2,3,2,1,1,1,1,1
415474048,3,2,2,2,1,2,5,1,2,3,2,3,4,3,2,4,2,3,3,3,2,1,1,2
414371249,3,2,2,2,1,2,2,1,1,4,1,1,5,3,2,4,2,3,2,5,2,1,1,1
416578010,3,1,2,2,1,2,5,1,7,4,2,1,9,2,1,1,2,3,3,3,1,1,1,1
414136190,1,1,2,2,1,2,1,4,3,2,3,1,3,2,2,4,3,3,3,2,2,1,2,1
418962298,2,1,2,NA,1,2,1,5,3,1,4,1,4,3,2,4,5,3,5,3,2,2,2,2
418067510,2,1,6,2,1,2,5,5,3,1,2,1,10,2,1,4,2,2,3,2,2,2,2,1
416860489,3,2,3,2,1,2,1,1,7,3,1,2,8,3,2,1,2,3,2,2,1,1,1,1
411879022,1,2,5,1,1,2,1,1,4,3,1,1,12,2,1,4,2,3,3,3,2,2,2,2
412240141,1,1,6,2,1,2,1,1,3,1,2,1,9,2,1,4,2,3,3,3,2,1,2,1
412888607,1,2,2,2,1,1,6,1,2,3,2,2,4,3,2,4,3,3,3,3,2,1,1,1
415231154,4,1,3,1,2,1,1,5,3,3,1,1,4,3,2,4,3,5,2,2,1,1,2,1
416428983,3,2,2,2,1,2,4,1,7,5,1,1,5,3,1,1,2,2,2,2,1,1,2,1
414619068,3,1,3,NA,1,2,8,5,4,3,1,2,1,3,2,2,3,2,2,1,1,1,1,2
412307317,3,2,3,2,1,2,5,1,5,5,1,1,6,3,2,2,2,3,2,2,1,1,1,1
416244174,1,2,6,1,2,2,1,6,3,1,3,1,8,3,2,4,3,3,3,3,2,2,2,1
412991840,3,1,4,1,1,2,1,1,4,2,3,1,9,2,1,4,2,2,2,2,2,2,2,1
415856200,2,1,4,2,1,2,1,6,1,2,4,2,9,1,2,4,3,5,3,5,2,1,1,1
412307472,2,2,4,2,7,2,6,6,1,2,4,1,5,3,2,4,2,2,3,3,2,1,2,1
413410045,2,2,5,1,1,2,1,1,3,3,3,1,10,3,2,4,2,3,3,3,2,2,2,1
412080189,3,1,6,2,1,2,1,1,1,1,2,2,9,3,1,4,2,3,2,3,2,1,2,1
418065455,3,1,6,2,1,2,5,3,5,4,4,1,8,3,2,1,2,3,2,3,1,1,2,1
412324562,2,2,2,2,1,2,5,1,4,3,2,2,7,3,1,4,5,5,5,2,2,1,1,1
412345769,3,1,6,2,1,2,5,1,4,2,1,1,12,3,1,3,2,2,2,2,1,1,1,1
417049513,4,2,2,2,6,2,5,1,1,1,4,1,5,3,1,4,3,2,3,2,2,1,2,1
413291660,3,1,4,2,1,2,6,1,5,4,1,1,3,3,2,1,2,2,2,2,1,1,1,1
412424146,1,2,2,2,1,2,1,5,7,5,1,1,6,3,2,1,3,3,3,2,1,1,2,1
414327906,2,2,1,2,1,2,5,5,6,3,4,2,2,3,2,4,2,2,3,2,2,1,2,1
417351589,1,1,6,1,1,2,1,1,4,3,4,1,8,3,1,4,3,3,2,3,2,2,2,1
410750488,2,2,4,1,1,2,2,1,2,2,3,3,9,3,1,3,5,5,5,5,1,1,1,1
412949822,2,1,2,2,1,2,1,1,7,5,3,1,10,3,2,1,3,2,3,2,2,1,1,2
412297426,3,2,6,2,1,2,5,1,5,5,2,1,7,3,2,1,2,2,2,2,1,1,1,1
420315117,3,1,5,2,1,2,1,1,2,2,4,1,12,2,1,4,2,3,3,3,2,1,2,1
420128803,4,2,6,2,1,2,5,1,4,2,2,1,5,2,2,4,3,3,3,3,1,2,2,1
413061899,3,2,2,2,1,2,2,4,7,4,2,1,2,3,2,1,2,2,2,2,1,2,1,1
412925780,3,2,5,2,1,2,1,1,6,3,2,2,11,3,1,2,2,5,3,5,1,1,1,2
416823935,4,1,2,2,1,2,1,1,1,2,4,1,9,3,1,4,3,3,3,2,2,2,2,1
413160976,3,1,6,1,1,2,1,1,2,3,1,1,7,1,1,4,2,2,2,2,1,1,2,2
418890934,3,1,3,2,1,1,3,3,3,2,3,1,11,3,2,4,2,2,2,5,2,2,2,2
417080152,3,1,6,2,1,2,4,1,3,2,4,1,11,3,1,4,2,2,2,2,2,2,2,1
412278455,4,2,2,2,1,2,5,3,2,3,3,3,7,2,2,3,3,3,3,3,2,1,2,1
411859566,2,2,6,1,1,2,2,1,1,1,4,1,6,1,2,4,2,3,3,3,2,2,2,1
413105696,3,1,5,1,3,2,1,1,2,2,2,2,8,1,1,3,3,2,2,2,2,1,2,1
419282250,4,2,5,2,3,2,1,3,2,2,2,2,11,3,1,4,3,3,3,2,2,2,2,1
420160112,1,1,3,2,1,2,2,1,4,4,4,1,6,1,2,4,3,3,3,5,1,2,2,1
412855690,1,2,2,2,1,1,7,1,1,3,1,1,5,3,2,4,3,3,2,2,1,1,2,1
412339946,2,2,1,2,1,2,7,1,7,5,2,1,5,3,2,1,3,2,5,5,1,1,1,2
416161318,3,2,6,1,4,2,1,5,4,3,1,2,7,3,1,4,NA,NA,NA,3,2,1,2,1
417892910,3,2,2,NA,1,2,7,1,3,3,1,3,3,3,2,2,2,3,2,3,1,1,2,1
414199241,2,2,2,2,1,2,5,4,1,3,2,4,3,3,2,4,2,5,3,3,2,2,2,2
412345958,3,2,5,2,3,2,9,6,1,2,2,2,4,3,1,4,2,2,2,3,2,1,1,2
411854243,3,1,3,2,1,2,1,1,4,3,3,1,3,2,1,3,2,3,2,5,2,1,2,1
415752437,1,1,2,2,1,2,5,1,7,5,2,1,7,1,2,1,3,3,3,2,1,1,1,1
418065692,2,1,3,2,1,2,6,5,2,2,4,2,2,3,2,2,2,2,2,2,2,1,1,2
413062346,3,1,1,2,1,2,2,3,4,4,2,3,3,3,2,2,2,3,5,5,1,1,2,2
416382952,3,2,1,NA,2,2,4,5,1,4,2,3,1,3,2,2,2,5,2,5,1,1,1,2
412274529,2,1,5,1,1,2,1,1,3,2,1,2,10,2,2,4,2,2,3,2,2,1,2,1
410770153,1,1,6,2,1,2,5,1,1,1,3,1,13,3,1,4,3,3,2,3,2,2,2,1
416832977,1,1,5,2,4,2,1,1,4,4,4,2,8,1,1,2,3,5,5,5,NA,1,1,2
414331667,4,2,5,NA,1,2,1,1,1,3,3,2,9,3,1,3,5,5,5,5,1,1,1,1
416257159,4,2,6,1,4,2,1,5,1,2,2,4,11,1,2,4,2,3,3,2,2,2,2,1
412273773,2,2,3,NA,4,2,8,5,2,3,1,4,9,3,2,2,3,5,3,5,1,1,1,2
412022635,3,1,5,2,1,2,5,1,7,5,1,1,7,2,2,1,3,2,2,2,1,1,2,1
415802716,4,2,2,2,3,2,4,1,3,3,2,2,3,3,2,4,5,2,2,3,2,1,1,2
412275442,4,2,5,2,1,2,2,1,1,2,3,3,8,2,1,4,3,3,3,5,2,1,1,2
414223923,1,2,2,2,1,2,7,6,4,3,1,4,5,2,2,3,4,4,3,4,1,2,1,1
420231612,3,1,4,2,1,2,5,1,7,5,3,1,6,2,1,1,2,3,2,NA,1,1,1,2
410941943,3,1,6,2,1,2,1,1,3,3,1,1,10,3,1,4,3,2,2,2,2,1,2,1
416974464,2,2,2,2,1,2,1,1,2,2,2,2,9,2,2,4,2,3,3,2,2,1,1,1
419531882,3,1,5,1,3,2,1,1,3,3,1,2,8,3,1,4,2,5,2,3,2,1,1,1
410746773,3,1,5,2,1,2,2,3,7,5,1,1,3,3,1,1,2,3,2,2,1,1,2,1
410904167,2,1,5,1,1,2,1,1,7,4,1,1,9,3,1,1,2,3,2,2,1,1,1,1
417352647,4,1,5,2,1,2,1,1,2,2,4,1,10,3,1,4,3,3,3,3,2,1,2,2
415242245,2,2,3,NA,2,2,1,5,1,2,2,1,4,2,2,4,2,3,4,3,2,1,1,1
414431857,3,1,5,2,3,2,1,5,4,4,1,1,8,1,1,3,2,2,2,3,1,1,1,1
413066308,1,1,5,2,7,2,2,1,4,4,3,1,7,3,2,1,2,3,3,3,1,2,2,1
418197276,3,1,2,2,1,2,1,1,5,4,2,1,8,3,2,1,2,2,2,2,1,2,1,1
419611863,2,2,3,1,6,2,2,6,4,2,4,2,5,3,2,4,5,5,3,2,2,2,2,2
414518088,3,2,3,2,2,2,2,4,1,3,1,1,7,3,2,4,3,3,3,2,2,1,1,1
412954060,2,2,3,2,1,2,5,1,5,4,2,1,4,3,2,2,2,2,3,2,1,1,1,1
414195665,1,2,5,2,1,2,1,5,1,2,4,2,1,3,2,4,3,3,5,5,2,2,2,1
412369020,4,1,2,2,1,2,1,3,6,2,4,1,9,2,1,3,3,3,3,3,1,2,2,1
417615808,4,2,4,1,1,1,2,1,1,2,2,2,12,3,2,4,2,2,3,3,1,2,2,1
412306675,2,1,5,2,1,2,1,1,1,3,2,1,14,3,1,4,2,2,3,2,2,1,2,1
412899054,4,1,5,1,1,2,1,3,3,3,2,1,7,3,1,4,3,3,3,3,2,1,1,1
417130388,3,2,3,1,3,2,1,6,4,3,2,3,6,3,2,4,5,5,3,5,1,1,1,2
415325555,2,2,6,2,1,2,5,1,1,1,1,1,12,1,1,4,2,2,3,2,2,1,1,2
412873680,1,2,4,1,1,2,7,5,2,2,4,2,3,3,2,4,1,1,1,1,2,2,2,1
416553786,2,1,5,2,3,2,1,1,2,3,3,2,4,1,2,3,2,1,1,1,2,1,1,2
418251432,3,1,6,1,1,2,1,3,3,2,4,2,6,3,2,3,2,2,2,1,2,2,1,1
410940752,4,2,3,2,1,2,7,1,7,5,1,1,3,3,2,1,2,2,2,2,1,2,1,1
418299009,3,1,5,1,3,2,6,1,1,2,3,1,6,3,2,4,2,3,2,3,2,2,2,2
415924214,3,2,2,NA,1,2,1,5,6,4,1,2,4,3,1,1,2,3,2,3,1,1,2,1
414634994,3,2,1,2,1,2,6,5,4,2,4,1,8,3,2,4,2,3,2,2,2,2,1,2
415949531,3,1,2,NA,2,2,3,2,4,5,1,3,2,1,2,3,NA,NA,NA,4,2,2,2,1
419225499,2,2,5,1,1,2,6,1,5,5,1,1,9,3,1,2,3,3,3,3,1,1,2,1
419521901,1,1,2,NA,1,2,1,5,6,4,2,2,10,3,1,2,3,5,2,1,2,1,1,1
412423118,4,2,3,2,1,2,1,3,1,3,1,2,7,2,1,4,3,2,2,3,2,1,1,1
412957235,4,1,3,2,1,2,5,5,1,2,4,1,3,3,2,4,2,2,2,4,2,1,1,1
419421301,4,1,2,NA,1,2,1,5,1,3,2,3,2,3,1,2,2,5,5,5,1,1,1,1
413491614,1,2,6,2,1,2,1,5,1,1,3,1,9,3,1,4,3,3,3,3,2,2,1,2
417353362,3,1,6,2,1,2,5,1,7,4,4,1,8,3,1,1,3,2,2,2,1,1,1,1
413621928,1,2,5,1,1,2,1,4,4,3,4,2,5,3,1,2,3,3,3,3,1,1,2,2
415545619,4,1,3,NA,1,2,2,3,7,3,3,2,4,2,1,1,5,2,3,5,2,2,1,1
412354541,1,2,2,1,1,2,2,5,1,1,2,1,2,1,2,3,3,5,2,3,2,1,2,2
413580580,3,1,6,2,4,2,1,1,5,4,1,1,12,3,1,1,3,3,3,2,1,1,1,1
412341718,4,1,6,2,1,2,1,1,1,1,4,1,15,3,1,4,3,3,3,3,2,2,2,2
412468723,3,2,6,2,2,2,1,1,1,1,2,1,12,3,1,4,2,2,2,2,2,2,2,1
412936605,3,2,2,2,1,2,2,1,7,5,1,3,2,1,2,2,5,5,5,5,1,NA,NA,NA
412297019,1,2,3,2,1,2,5,1,3,3,1,1,2,3,2,4,2,4,2,2,2,1,1,1
420170366,3,2,6,1,1,2,1,5,1,2,1,1,10,1,1,4,3,3,3,3,2,2,2,2
420291206,4,1,3,2,2,2,4,5,2,2,3,3,3,3,2,4,3,3,3,5,2,1,1,1
417928575,3,2,5,NA,3,2,7,1,2,3,2,2,7,3,2,3,2,1,2,1,2,1,1,1
413659546,4,2,5,2,1,2,1,1,7,4,1,1,9,2,2,1,3,3,3,3,2,2,2,2
410750912,1,1,5,1,1,2,1,5,7,5,1,2,3,3,1,1,3,3,2,2,1,1,1,2
412448126,3,2,5,2,1,2,7,1,6,4,1,3,2,3,2,3,1,1,2,5,1,2,2,1
416204318,1,1,2,2,1,2,5,3,6,4,2,1,6,2,1,2,3,3,2,NA,1,1,1,1
